ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1001000,1181.8622,21.908115,1253.2233,27.858158,1143.4028,19.0891,1285.2915,50.05114,1326.1219,73.331841,1382.038,43.157387,1549.1315,71.253616,1714.7208,50.882111,1747.5145,154.31151,2000.264,187.81857,2004.6008,92.146286,2374.1177,32.002083,2026.4373,59.463741,2333.0745,105.4355,2824.6497,14.972167,3192.2241,7.9478693,2707.6025,153.03372
1002000,1446.7773,5.8847675,1391.2334,13.711187,1373.1772,4.849813,1489.1461,58.192139,1573.3071,108.57516,1670.5822,114.79498,2118.324,186.39203,2463.6318,253.05272,2174.1567,66.795067,2856.3928,225.72321,3160.0779,244.34822,3240.5703,182.76295,3773.9697,80.813202,3694.4294,256.38474,4404.4692,287.63251,4517.8672,134.19305,3963.7749,175.554
1003000,1514.2,78.969414,1534.6664,12.815444,1428.2506,50.50605,1403.0776,16.54232,1530.8374,12.933196,1788.5077,31.054983,1892.1111,25.409283,2091.3982,134.76649,2166.7813,.17319427,2283.4583,23.590792,3059.1677,207.64854,3069.3943,11.273612,4178.6875,153.06046,4201.3804,80.884331,3947.5017,76.343742,4255.7402,104.64471,3281.9014,202.17867
1004000,1090.5029,15.872497,1064.7007,9.1685791,1074.0765,8.5472002,1858.6772,247.00604,1356.0325,29.752247,1149.0929,22.827324,1201.0552,45.948555,1198.167,25.307192,1354.5118,56.496811,1351.037,49.438675,1590.4272,15.268457,1375.3209,91.552673,1678.6658,52.866947,2058.468,60.015671,3102.0955,20.356384,2791.0354,199.17839,2558.1221,170.1221
1051001,977.85413,29.451769,945.17499,28.209002,953.33832,97.23555,1101.1986,1.3865896,1017.6339,36.720184,1016.9417,18.096729,921.74927,18.421659,986.836,9.535656,1137.2167,58.50127,1232.0425,60.602448,1455.2181,5.7787089,1554.2004,117.8244,1754.0228,97.967957,1842.8833,56.268116,2225.4868,8.4892483,2256.7852,77.975342,2091.5181,126.11681
1051002,1012.8466,12.968256,1006.694,4.0862589,1029.4871,128.14407,1155.0492,50.498394,1098.33,17.59623,1126.5883,3.0561178,1023.7586,5.0632892,1030.0056,32.203732,1123.2578,52.926029,1305.5823,32.290962,1526.6525,80.759468,1614.4799,59.987518,1950.7366,88.391403,1881.5271,89.707191,2372.2832,261.42105,2334.3718,84.873077,2110.4746,4.8208795
1051003,1129.9814,102.35242,1105.6033,56.122967,754.35974,96.719742,927.74872,13.820604,835.77289,119.19143,743.64996,37.470242,681.69641,4.806036,819.97504,54.973793,1011.7647,92.043167,1028.694,49.184765,965.98706,21.583714,1164.6268,78.625954,1156.6055,246.44774,2025.1144,346.80011,1894.6172,701.97192,1869.1481,281.57687,1621.5491,92.509247
1051004,913.91266,3.8961062,909.42987,16.489807,906.55457,62.165508,1013.9924,47.997017,1003.6912,48.532707,979.40393,63.35257,968.70416,10.112044,978.11115,13.50536,1130.9427,68.539543,1200.5305,78.558914,1242.8495,38.100941,1331.2273,128.3244,1348.2739,377.37949,1863.2576,54.226868,2297.3352,94.131615,2297.9333,166.73767,1956.0031,37.173958
1051005,1272.0076,93.438042,1092.9429,104.95789,1008.558,87.458847,1109.9579,11.628512,1115.2972,3.4706664,1180.8113,5.6673656,1184.7208,100.12939,1008.7312,92.820473,1318.5614,14.420948,1377.986,175.86647,1006.4375,167.93112,1979.8662,115.32018,1668.2928,55.999413,1944.5203,155.37845,2588.9109,25.462431,3038.1133,35.879539,2104.9934,195.31894
1051006,1004.4189,1.6963781,963.27057,13.253892,929.26697,3.3034687,875.4834,16.522388,881.25372,42.940289,870.91327,17.104319,919.70544,67.353317,1077.7537,27.09697,1183.3079,101.93127,1221.3877,195.5714,1111.7712,121.2643,1393.9224,132.69095,1237.3027,131.86121,2071.6873,139.60789,2375.824,296.13266,2604.8308,205.52571,2195.1794,147.85231
