ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1001000,5.054141,.03446728,5.33149,.037068132,5.4682446,.090039223,5.714571,.057249576,5.7931595,.052685976,5.9567809,.097352065,6.2218571,.075598732,6.2968421,.055637501,6.4769969,.031783924,7.0245252,.010606046,7.2385588,.016023088,7.6330032,.028382864,7.9651632,.034970947,8.3535337,.0069086878,8.4123211,.11066609,8.8493376,.11924948,9.128994,.11264113
1002000,6.746995,.36783454,6.8038802,.29916021,6.7522588,.16333318,6.9643459,.20994338,7.1320057,.18028837,7.2913828,.21162541,7.5346828,.1418263,7.8422294,.14406379,7.6250501,.087846503,8.0525522,.053944357,9.0108738,.21589847,9.4091043,.29861948,9.5819674,.24083877,9.7836924,.32773212,10.224599,.37701958,11.09884,.41832137,11.133787,.30753127
1003000,6.7929478,.095464997,6.8496413,.19018424,6.7025819,.22598472,6.9605594,.24345827,7.1284919,.23316661,7.2939939,.29151013,7.3885622,.3270002,7.7216964,.26221463,7.774106,.24278982,7.8630595,.32290179,8.446764,.32981697,8.8669481,.31833693,9.1249084,.40602195,9.7371111,.25892448,10.33051,.32616836,10.98042,.21605903,11.756223,.25082618
1004000,5.0599298,.0072321161,5.0558748,.02285037,5.1504269,.0077761519,5.183672,.0054702,5.1916499,.069979899,5.2962909,.05199502,5.3520975,.0095535377,5.6035776,.018657863,5.5673594,.046810068,6.1885648,.033128783,6.4585633,.0065625114,6.5712504,.0091659063,7.2754974,.1337014,7.0709071,.0092388391,7.5371332,.032122687,7.760685,.25672144,8.0698757,.069900423
1051001,4.5667615,.37008184,4.6804252,.29734591,4.7372971,.067801774,4.745048,.010487363,4.8347826,.18089527,5.1735969,.021235337,4.8690925,.040169559,5.2682724,.14740349,4.9655509,.031875554,5.0760045,.097376853,5.3876863,.02560888,5.8840828,.30644649,6.0893993,.22618221,5.7208886,.29634938,7.4165359,.90429795,7.7065969,.21865,8.4581509,.94015133
1051002,4.745265,.60500914,4.9424572,.080401868,5.0566587,.15896487,5.0618286,.15718101,5.1926599,.092301823,5.3724051,.14681372,5.1903172,.038030103,5.5082664,.031490874,5.2560501,.21335228,5.3715358,.2502633,5.698215,.026449259,5.8688436,.096089892,6.1671743,.12660849,5.9687905,.18058375,8.0526648,.50059307,8.3440199,.40300623,8.5707359,.80459851
1051003,4.5223656,.013493918,4.5732803,.038277622,4.4303513,.019079005,4.2995424,.0076394659,4.4110928,.15772288,4.4436378,.11057577,4.286622,.055291526,4.6682405,.035648946,4.7733679,.017532995,5.2314095,.05805457,5.4394369,.061617482,5.8656926,.37738663,5.8351259,.063034788,5.9166536,.033558995,6.4517708,.12852043,6.9184794,.2295631,7.6628776,.48902044
1051004,4.768827,.12137304,4.5719919,.049925145,4.627285,.14439817,4.722476,.0047288933,4.8314734,.13704576,5.0086164,.033967141,4.8937063,.014306193,4.9581714,.10562558,4.9690518,.00879551,4.8939948,.17788246,5.0548377,.11905356,5.265727,.35557732,5.6101246,.1751803,5.7109861,.1010728,7.3445082,.9161464,7.2958217,.083100393,8.0596085,.37088814
1051005,4.868866,.18539369,4.7943406,.036669556,4.6023593,.022423537,4.8127995,.047312543,4.5740151,.1883651,4.7474556,.12118391,4.6763473,.12667125,4.7716417,.23859103,4.8725824,.19974178,4.99859,.2129117,5.3563113,.18301284,5.4363885,.0059326533,5.8803678,.025803959,5.726932,.21368624,7.6205058,.31865644,7.3006954,.25869521,8.0911713,.38672188
1051006,4.4022412,.059901301,4.4419961,.098271385,4.6218514,.013640507,4.1968699,.13572951,4.6604652,.36655259,4.6319242,.42710975,4.4062548,.45658258,4.9467058,.030554099,4.9396315,.052557565,5.0720692,.15844324,5.2299538,.25922379,5.8033814,.27207035,5.9938488,.095312417,6.2605586,.093431063,6.4000468,.29604951,7.1179614,.66597205,7.2427416,.18961035
1051008,5.1288013,.51085043,4.9642868,.4100301,4.6860237,.21071818,4.9653769,.53462493,4.6632686,.40620893,5.082303,.20824803,4.4708114,.26376688,4.9244347,.25843638,4.8106675,.054231741,5.0680337,.09014874,5.573072,.41354981,5.6892672,.32408372,6.1153636,.73700356,5.2416706,.20425475,7.9752355,.18148813,8.5257378,.35013834,8.9668875,.49308121
1051010,4.4590034,.25669277,4.509944,.0035548918,4.4688835,.026255887,4.3149366,.048702825,4.4635167,.10086763,4.4575186,.14093818,4.4153666,.11448841,4.7324672,.036408767,4.8540359,.026115846,5.1156225,.15736754,5.5946698,.16540818,6.0624819,.19190933,5.8714166,.12444679,6.0186958,.11417022,5.9256334,.49112943,6.3972707,.38624167,7.514874,.67077559
