year,Obs,Radius,Obs_own,Radius_own,Effect_nown,lprice_qm,lprice_qm_se,price_qm,price_qm_se,llm_id,target_x,target_y,target_id,Name
2007,104457,25,1248876,100,0,7.2522068,.011398863,1506.8608,17.1765,1,573757.4546000001,6020437.4214,1,Kiel
2008,104457,25,1248876,100,0,7.2510548,.0066380673,1505.1259,9.991127,1,573757.4546000001,6020437.4214,1,Kiel
2009,104457,25,1248876,100,0,7.2150521,.011807762,1451.9012,17.143705,1,573757.4546000001,6020437.4214,1,Kiel
2010,104457,25,1248876,100,0,7.2698007,.0045321817,1533.6069,6.9505854,1,573757.4546000001,6020437.4214,1,Kiel
2011,104457,25,1248876,100,0,7.3291922,.0038829006,1627.4493,6.3192239,1,573757.4546000001,6020437.4214,1,Kiel
2012,104457,25,1248876,100,0,7.3514886,.022647494,1664.1432,37.688675,1,573757.4546000001,6020437.4214,1,Kiel
2013,104457,25,1248876,100,0,7.5154905,.031179026,1960.7211,61.133373,1,573757.4546000001,6020437.4214,1,Kiel
2014,104457,25,1248876,100,0,7.5627036,.048880413,2055.5129,100.47432,1,573757.4546000001,6020437.4214,1,Kiel
2015,104457,25,1248876,100,0,7.5948281,.014069271,2122.6172,29.863676,1,573757.4546000001,6020437.4214,1,Kiel
2016,104457,25,1248876,100,0,7.8121576,.021604974,2637.8901,56.991547,1,573757.4546000001,6020437.4214,1,Kiel
2017,104457,25,1248876,100,0,7.8880892,.034372982,2845.99,97.825165,1,573757.4546000001,6020437.4214,1,Kiel
2018,104457,25,1248876,100,0,7.8834524,.052067462,2832.8242,147.49797,1,573757.4546000001,6020437.4214,1,Kiel
2019,104457,25,1248876,100,0,7.9230609,.058659751,2947.2798,172.8867,1,573757.4546000001,6020437.4214,1,Kiel
2020,104457,25,1248876,100,0,8.0786238,.033216555,3443.3525,114.3763,1,573757.4546000001,6020437.4214,1,Kiel
2021,104457,25,1248876,100,0,8.2090511,.061453011,3923.0637,241.08408,1,573757.4546000001,6020437.4214,1,Kiel
2022,104457,25,1248876,100,0,8.2484884,.035213906,4080.8701,143.70338,1,573757.4546000001,6020437.4214,1,Kiel
2023,104457,25,1248876,100,0,8.1057911,.025610441,3538.1814,90.614388,1,573757.4546000001,6020437.4214,1,Kiel
2007,110514,25,1353629,100,0,7.2372713,.045105305,1527.9091,68.916801,2,613566.8326,5970710.7374,2,Lübeck
2008,110514,25,1353629,100,0,7.2298627,.047660209,1516.6312,72.282959,2,613566.8326,5970710.7374,2,Lübeck
2009,110514,25,1353629,100,0,7.1685219,.04616785,1426.3958,65.853622,2,613566.8326,5970710.7374,2,Lübeck
2010,110514,25,1353629,100,0,7.1929646,.077788793,1461.6902,113.70312,2,613566.8326,5970710.7374,2,Lübeck
2011,110514,25,1353629,100,0,7.188838,.059789412,1455.6709,87.033707,2,613566.8326,5970710.7374,2,Lübeck
2012,110514,25,1353629,100,0,7.317318,.06773822,1655.2413,112.1231,2,613566.8326,5970710.7374,2,Lübeck
2013,110514,25,1353629,100,0,7.3687353,.075771779,1742.5756,132.03806,2,613566.8326,5970710.7374,2,Lübeck
2014,110514,25,1353629,100,0,7.4069657,.063525207,1810.4847,115.01142,2,613566.8326,5970710.7374,2,Lübeck
2015,110514,25,1353629,100,0,7.5062032,.11975411,1999.3699,239.43275,2,613566.8326,5970710.7374,2,Lübeck
2016,110514,25,1353629,100,0,7.5909019,.11231289,2176.0923,244.40321,2,613566.8326,5970710.7374,2,Lübeck
2017,110514,25,1353629,100,0,7.760766,.038696155,2578.9824,99.796707,2,613566.8326,5970710.7374,2,Lübeck
2018,110514,25,1353629,100,0,7.8374681,.089962505,2784.5798,250.50778,2,613566.8326,5970710.7374,2,Lübeck
2019,110514,25,1353629,100,0,7.9705873,.10465062,3181.0652,332.90042,2,613566.8326,5970710.7374,2,Lübeck
2020,110514,25,1353629,100,0,8.1134596,.041199271,3669.6213,151.18573,2,613566.8326,5970710.7374,2,Lübeck
2021,110514,25,1353629,100,0,8.2067976,.05618953,4028.6304,226.36685,2,613566.8326,5970710.7374,2,Lübeck
2022,110514,25,1353629,100,0,8.1820421,.071869224,3930.124,282.45496,2,613566.8326,5970710.7374,2,Lübeck
2023,110514,25,1353629,100,0,8.0770464,.11018088,3538.4023,389.86429,2,613566.8326,5970710.7374,2,Lübeck
2007,53770,25,1145099,100,0,6.8257718,.048849065,1001.5262,48.923618,3,508610.2229,6004068.7489,3,Dithmarschen
2008,53770,25,1145099,100,0,6.8101277,.05944258,985.98016,58.609203,3,508610.2229,6004068.7489,3,Dithmarschen
2009,53770,25,1145099,100,0,6.8519192,.052573223,1028.0588,54.048367,3,508610.2229,6004068.7489,3,Dithmarschen
2010,53770,25,1145099,100,0,6.9444909,.032983132,1127.7721,37.197456,3,508610.2229,6004068.7489,3,Dithmarschen
2011,53770,25,1145099,100,0,6.8813267,.095889442,1058.7404,101.52202,3,508610.2229,6004068.7489,3,Dithmarschen
2012,53770,25,1145099,100,0,6.9215193,.025750102,1102.1606,28.380749,3,508610.2229,6004068.7489,3,Dithmarschen
2013,53770,25,1145099,100,0,6.9104543,.018471317,1090.0325,20.134336,3,508610.2229,6004068.7489,3,Dithmarschen
2014,53770,25,1145099,100,0,6.8931942,.010110572,1071.3799,10.832263,3,508610.2229,6004068.7489,3,Dithmarschen
2015,53770,25,1145099,100,0,6.9154024,.058602646,1095.4395,64.195648,3,508610.2229,6004068.7489,3,Dithmarschen
2016,53770,25,1145099,100,0,7.039032,.070305362,1239.5956,87.150215,3,508610.2229,6004068.7489,3,Dithmarschen
2017,53770,25,1145099,100,0,7.1545596,.025788601,1391.4033,35.882347,3,508610.2229,6004068.7489,3,Dithmarschen
2018,53770,25,1145099,100,0,7.2504492,.08130157,1531.4307,124.50772,3,508610.2229,6004068.7489,3,Dithmarschen
2019,53770,25,1145099,100,0,7.4551973,.055579077,1879.3961,104.4551,3,508610.2229,6004068.7489,3,Dithmarschen
2020,53770,25,1145099,100,0,7.499198,.042270176,1963.937,83.015961,3,508610.2229,6004068.7489,3,Dithmarschen
2021,53770,25,1145099,100,0,7.7304502,.019626368,2474.9082,48.57346,3,508610.2229,6004068.7489,3,Dithmarschen
2022,53770,25,1145099,100,0,7.75915,.027370891,2546.967,69.712753,3,508610.2229,6004068.7489,3,Dithmarschen
2023,53770,25,1145099,100,0,7.6039643,.0074932394,2180.8562,16.341677,3,508610.2229,6004068.7489,3,Dithmarschen
2007,50180,25,413019,100,0,7.067924,.021749403,1267.1252,27.559217,4,528325.0110000001,6071482.3837,4,Flensburg
2008,50180,25,413019,100,0,7.1187053,.018199701,1333.1332,24.262625,4,528325.0110000001,6071482.3837,4,Flensburg
2009,50180,25,413019,100,0,7.0554318,.013248508,1251.3945,16.579111,4,528325.0110000001,6071482.3837,4,Flensburg
