llm_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1,1506.8608,17.1765,1505.1259,9.991127,1451.9012,17.143705,1533.6069,6.9505854,1627.4493,6.3192239,1664.1432,37.688675,1960.7211,61.133373,2055.5129,100.47432,2122.6172,29.863676,2637.8901,56.991547,2845.99,97.825165,2832.8242,147.49797,2947.2798,172.8867,3443.3525,114.3763,3923.0637,241.08408,4080.8701,143.70338,3538.1814,90.614388
2,1527.9091,68.916801,1516.6312,72.282959,1426.3958,65.853622,1461.6902,113.70312,1455.6709,87.033707,1655.2413,112.1231,1742.5756,132.03806,1810.4847,115.01142,1999.3699,239.43275,2176.0923,244.40321,2578.9824,99.796707,2784.5798,250.50778,3181.0652,332.90042,3669.6213,151.18573,4028.6304,226.36685,3930.124,282.45496,3538.4023,389.86429
3,1001.5262,48.923618,985.98016,58.609203,1028.0588,54.048367,1127.7721,37.197456,1058.7404,101.52202,1102.1606,28.380749,1090.0325,20.134336,1071.3799,10.832263,1095.4395,64.195648,1239.5956,87.150215,1391.4033,35.882347,1531.4307,124.50772,1879.3961,104.4551,1963.937,83.015961,2474.9082,48.57346,2546.967,69.712753,2180.8562,16.341677
4,1267.1252,27.559217,1333.1332,24.262625,1251.3945,16.579111,1366.8831,43.280575,1444.8367,43.4282,1499.0084,64.085098,1605.2485,40.290524,1767.0226,40.219429,1915.7029,29.456184,2157.5432,80.960159,2206.957,66.840912,2387.636,42.740345,2401.6418,73.445633,2687.0117,94.584366,3107.3748,135.84157,3305.2698,31.26659,3094.7952,145.27316
5,2724.2192,39.229008,2851.3289,54.841858,3090.4473,113.13702,3395.209,98.078224,3937.7976,103.6953,4643.4316,173.19565,4884.4448,128.81329,5083.2202,111.32331,5597.5288,78.676628,5864.5547,196.01057,6738.291,210.83481,7050.4102,412.80753,7564.7363,540.11945,8529.126,502.04083,9955.6143,469.56458,9738.7373,540.5155,8619.9092,283.78381
6,1518.0668,31.803129,1512.3048,25.844797,1453.3129,.69485444,1466.7899,16.264811,1483.6392,2.5002711,1606.2585,36.67289,2014.8868,59.297436,2108.2764,83.603218,2235.0066,97.543472,2697.0049,100.72318,2716.8359,114.74408,2939.5168,73.455246,3391.9763,147.54861,3344.4753,161.95705,3524.915,91.469269,3686.4106,50.944595,3446.8711,114.24401
7,1527.501,90.262398,1433.6432,67.04187,1346.5096,60.808784,1393.9518,75.750999,1468.3187,29.54224,1468.0674,16.956604,1684.5752,124.87335,1904.2581,72.92067,2110.6025,52.281265,2372.5627,90.144936,2561.5444,36.617195,2661.7476,74.736313,2692.8433,130.12177,2898.6721,94.172913,3262.0623,128.28616,3234.5908,21.717348,3080.866,32.917431
8,1163.2809,47.23888,1163.8047,39.308117,1007.2673,7.4348521,1070.1556,84.210518,1056.0239,12.428529,848.80695,36.075001,1065.1633,31.927252,1058.3201,14.822658,1175.8787,22.447735,1241.6243,16.75536,1105.5115,38.556778,1261.817,2.2952702,1634.7877,92.870438,1965.6237,350.48792,2246.4211,76.663818,2413.9282,206.047,2956.5969,385.91125
9,928.16095,45.951492,876.81714,23.572815,916.65228,17.577337,835.89911,3.6291041,792.68011,11.755871,715.85059,34.562275,717.37903,23.613535,646.349,16.352457,766.96503,7.1984701,805.88971,10.729789,1003.4358,32.826637,908.7923,75.620537,995.71765,28.363907,1113.2329,4.7443371,1531.8396,73.930183,1531.9995,69.88649,1587.1051,146.53468
10,1612.3326,23.88452,1674.6216,26.258535,1590.8092,34.23658,1639.1373,37.927307,1650.2257,27.748022,1799.6539,52.566772,2068.9211,58.853344,2303.7502,45.73143,2536.4863,95.828499,2829.6821,145.52733,3157.6069,138.77953,3332.6733,164.64113,3846.4006,229.11754,4267.8379,241.93303,4796.2222,245.13603,4787.311,244.47838,4072.2869,181.70367
11,1153.6157,8.6315393,1180.7703,17.838514,1103.3239,20.560246,1084.417,8.691206,958.62372,19.083004,894.24695,30.656794,942.4422,37.037533,949.5318,54.613567,1135.4858,15.273028,1138.8281,6.5275087,1043.569,85.027763,1147.8088,8.5862207,1245.3573,9.054822,1580.0278,171.24307,1909.4504,149.43512,2071.9951,50.0103,2404.7302,166.19344
12,1112.0988,2.3190715,1051.4174,18.299723,1116.6611,7.6071048,1086.0935,5.1972828,1046.2729,28.066065,1060.7152,8.3091421,1133.361,11.692269,1112.0542,14.19499,1244.0924,29.610172,1413.9491,16.375521,1464.953,37.228722,1543.8702,30.172997,1757.6301,11.423152,2081.0322,30.335638,2642.6504,26.085049,2693.4897,37.044174,2721.4973,69.339211
13,992.47955,4.5661068,942.68018,23.209368,793.67853,27.089266,976.43164,22.56916,880.77948,134.58926,978.70782,88.288979,1083.6403,120.05633,944.92181,33.500549,904.70111,69.171417,1157.6077,74.704666,1338.7465,117.26276,1411.5634,94.035248,1424.9033,76.449593,1254.2767,110.03097,1532.7455,10.203456,1914.9911,67.164421,2017.8806,140.42912
14,1379.7418,81.400551,1356.567,26.497032,1216.8988,32.589844,1267.6979,.59102821,1212.0979,7.682569,1241.3828,32.896477,1352.8236,49.815907,1569.3896,176.55769,1655.8126,96.276039,1650.1376,148.20775,1842.0389,79.44384,1866.6055,23.634558,2261.5576,64.816574,2307.2012,.79083532,2957.4985,365.98578,3266.9719,139.57626,2821.6746,85.063057
15,1037.0181,.20745568,1053.8582,4.3435154,991.71094,14.075397,875.37134,58.733658,912.38403,23.420809,931.65906,27.617985,956.14471,23.184006,881.24677,18.174198,947.24298,2.134912,1124.1636,.95151848,1439.4426,9.5161619,1577.4034,9.0145397,1549.5618,126.07145,1798.9619,72.311111,2451.2051,11.599722,2457.8718,129.82889,2414.9294,154.50398
16,965.41345,17.165409,1005.6204,49.02924,930.10223,47.851315,950.69452,43.326805,955.2099,53.722366,916.06927,56.519238,1068.6647,99.990891,1080.0391,92.226112,1035.814,53.485569,1047.1802,87.548897,1061.1333,103.38647,1356.0089,37.050907,1513.5605,32.262794,1598.3618,88.695175,1930.0979,103.27974,2083.1951,33.897602,1866.7515,32.307617
17,1451.0354,46.971436,1437.7291,54.758621,1448.7207,56.743252,1577.9474,40.103699,1671.2396,59.25956,1846.5543,32.663273,2186.3486,38.85247,2232.0767,99.178368,2522.7205,13.673216,2703.8965,17.397038,2876.5786,20.251898,2952.9124,18.05514,3378.467,44.467964,3689.4019,50.53537,4136.1606,64.797302,4030.3022,1.621114,3581.8467,3.5516858
