year,Obs,Radius,Obs_own,Radius_own,Effect_nown,lprice_qm,lprice_qm_se,price_qm,price_qm_se,llm_id,target_x,target_y,target_id,Name
2007,134122,25,1165896,100,0,1.7477837,.049299221,5.8530884,.2885527,1,573757.4546000001,6020437.4214,1,Kiel
2008,134122,25,1165896,100,0,1.8095351,.027388455,6.2259183,.17051828,1,573757.4546000001,6020437.4214,1,Kiel
2009,134122,25,1165896,100,0,1.8331289,.018032372,6.374558,.1149484,1,573757.4546000001,6020437.4214,1,Kiel
2010,134122,25,1165896,100,0,1.8493892,.019106522,6.4790573,.12379225,1,573757.4546000001,6020437.4214,1,Kiel
2011,134122,25,1165896,100,0,1.8827145,.01330731,6.6986117,.089140505,1,573757.4546000001,6020437.4214,1,Kiel
2012,134122,25,1165896,100,0,1.8948339,.014347311,6.7802892,.097278915,1,573757.4546000001,6020437.4214,1,Kiel
2013,134122,25,1165896,100,0,1.928304,.016985204,7.011066,.11908439,1,573757.4546000001,6020437.4214,1,Kiel
2014,134122,25,1165896,100,0,1.9808936,.013510306,7.3896427,.099836335,1,573757.4546000001,6020437.4214,1,Kiel
2015,134122,25,1165896,100,0,1.9818801,.011282224,7.3969359,.083453886,1,573757.4546000001,6020437.4214,1,Kiel
2016,134122,25,1165896,100,0,2.0206809,.017008968,7.6895843,.13079189,1,573757.4546000001,6020437.4214,1,Kiel
2017,134122,25,1165896,100,0,2.112797,.01474214,8.4315681,.12429935,1,573757.4546000001,6020437.4214,1,Kiel
2018,134122,25,1165896,100,0,2.151675,.018934404,8.7658262,.1659757,1,573757.4546000001,6020437.4214,1,Kiel
2019,134122,25,1165896,100,0,2.170408,.022402067,8.9315844,.20008595,1,573757.4546000001,6020437.4214,1,Kiel
2020,134122,25,1165896,100,0,2.1908169,.019487727,9.1157408,.17764507,1,573757.4546000001,6020437.4214,1,Kiel
2021,134122,25,1165896,100,0,2.2349064,.022511078,9.5266418,.21445498,1,573757.4546000001,6020437.4214,1,Kiel
2022,134122,25,1165896,100,0,2.30758,.019415824,10.244754,.19891034,1,573757.4546000001,6020437.4214,1,Kiel
2023,134122,25,1165896,100,0,2.3174956,.021457106,10.346843,.22201329,1,573757.4546000001,6020437.4214,1,Kiel
2007,94061,25,1345321,100,0,1.7832791,.0099579711,6.0717659,.060462467,2,613566.8326,5970710.7374,2,Lübeck
2008,94061,25,1345321,100,0,1.8054725,.011370732,6.2080259,.070589796,2,613566.8326,5970710.7374,2,Lübeck
2009,94061,25,1345321,100,0,1.818282,.011122406,6.2880592,.069938347,2,613566.8326,5970710.7374,2,Lübeck
2010,94061,25,1345321,100,0,1.8483852,.0086025652,6.4802279,.055746581,2,613566.8326,5970710.7374,2,Lübeck
2011,94061,25,1345321,100,0,1.864176,.012258524,6.5833683,.080702379,2,613566.8326,5970710.7374,2,Lübeck
2012,94061,25,1345321,100,0,1.8857957,.012281408,6.7272482,.082620077,2,613566.8326,5970710.7374,2,Lübeck
2013,94061,25,1345321,100,0,1.9135695,.008677206,6.9167075,.060017698,2,613566.8326,5970710.7374,2,Lübeck
2014,94061,25,1345321,100,0,1.9504478,.014557955,7.1765461,.10447583,2,613566.8326,5970710.7374,2,Lübeck
2015,94061,25,1345321,100,0,1.970714,.0067067873,7.3234711,.049116962,2,613566.8326,5970710.7374,2,Lübeck
2016,94061,25,1345321,100,0,1.9986527,.0036995409,7.5309649,.027861113,2,613566.8326,5970710.7374,2,Lübeck
2017,94061,25,1345321,100,0,2.0670388,.004748601,8.0639963,.038292702,2,613566.8326,5970710.7374,2,Lübeck
2018,94061,25,1345321,100,0,2.1222508,.000196982,8.5217457,.0016786305,2,613566.8326,5970710.7374,2,Lübeck
2019,94061,25,1345321,100,0,2.1553349,.0029588912,8.8083963,.026063086,2,613566.8326,5970710.7374,2,Lübeck
2020,94061,25,1345321,100,0,2.201694,.0015605125,9.2263584,.014397847,2,613566.8326,5970710.7374,2,Lübeck
2021,94061,25,1345321,100,0,2.2487555,.0014257279,9.6709442,.013788135,2,613566.8326,5970710.7374,2,Lübeck
2022,94061,25,1345321,100,0,2.311996,.0051377551,10.302292,.052930653,2,613566.8326,5970710.7374,2,Lübeck
2023,94061,25,1345321,100,0,2.3622167,.025230341,10.832893,.27331758,2,613566.8326,5970710.7374,2,Lübeck
2007,15272,25,1120359,100,0,1.6116292,.034565512,5.1047812,.17644937,3,508610.2229,6004068.7489,3,Dithmarschen
2008,15272,25,1120359,100,0,1.5797198,.020264085,4.9444618,.100195,3,508610.2229,6004068.7489,3,Dithmarschen
2009,15272,25,1120359,100,0,1.5820365,.01884749,4.9559302,.093406841,3,508610.2229,6004068.7489,3,Dithmarschen
2010,15272,25,1120359,100,0,1.6194701,.015176469,5.1449647,.078082398,3,508610.2229,6004068.7489,3,Dithmarschen
2011,15272,25,1120359,100,0,1.6119795,.0023298208,5.1065698,.011897393,3,508610.2229,6004068.7489,3,Dithmarschen
2012,15272,25,1120359,100,0,1.6227081,.019945076,5.1616507,.10294951,3,508610.2229,6004068.7489,3,Dithmarschen
2013,15272,25,1120359,100,0,1.6175727,.02198874,5.1352115,.11291683,3,508610.2229,6004068.7489,3,Dithmarschen
2014,15272,25,1120359,100,0,1.6419944,.022216901,5.262166,.11690902,3,508610.2229,6004068.7489,3,Dithmarschen
2015,15272,25,1120359,100,0,1.6598532,.017600875,5.3569865,.094287649,3,508610.2229,6004068.7489,3,Dithmarschen
2016,15272,25,1120359,100,0,1.691063,.021607963,5.5268135,.11942318,3,508610.2229,6004068.7489,3,Dithmarschen
2017,15272,25,1120359,100,0,1.7399809,.018036198,5.8038955,.10468021,3,508610.2229,6004068.7489,3,Dithmarschen
2018,15272,25,1120359,100,0,1.749426,.0090325698,5.8589735,.052921586,3,508610.2229,6004068.7489,3,Dithmarschen
2019,15272,25,1120359,100,0,1.813664,.00372858,6.2476935,.023295024,3,508610.2229,6004068.7489,3,Dithmarschen
2020,15272,25,1120359,100,0,1.8391784,.0024754643,6.4091511,.015865624,3,508610.2229,6004068.7489,3,Dithmarschen
2021,15272,25,1120359,100,0,2.0541101,.023847455,7.9459186,.18948993,3,508610.2229,6004068.7489,3,Dithmarschen
2022,15272,25,1120359,100,0,2.0593927,.015190166,7.9880052,.12133913,3,508610.2229,6004068.7489,3,Dithmarschen
2023,15272,25,1120359,100,0,2.135046,.030327763,8.6157713,.26129708,3,508610.2229,6004068.7489,3,Dithmarschen
2007,49068,25,315948,100,0,1.6197147,.006175607,5.1274881,.031665351,4,528325.0110000001,6071482.3837,4,Flensburg
2008,49068,25,315948,100,0,1.669706,.0052281739,5.3903327,.028181598,4,528325.0110000001,6071482.3837,4,Flensburg
2009,49068,25,315948,100,0,1.7073404,.010106891,5.5970602,.05656888,4,528325.0110000001,6071482.3837,4,Flensburg
2010,49068,25,315948,100,0,1.7263894,.0037829254,5.7047009,.021580458,4,528325.0110000001,6071482.3837,4,Flensburg
2011,49068,25,315948,100,0,1.7349042,.0013451779,5.7534823,.0077394573,4,528325.0110000001,6071482.3837,4,Flensburg
2012,49068,25,315948,100,0,1.7577376,.0012427217,5.8863659,.0073151146,4,528325.0110000001,6071482.3837,4,Flensburg
2013,49068,25,315948,100,0,1.8149724,.0055857566,6.2330985,.034816571,4,528325.0110000001,6071482.3837,4,Flensburg
2014,49068,25,315948,100,0,1.8231016,.0047674612,6.2839756,.029958609,4,528325.0110000001,6071482.3837,4,Flensburg
2015,49068,25,315948,100,0,1.8501983,.0030404979,6.4565778,.019631211,4,528325.0110000001,6071482.3837,4,Flensburg
2016,49068,25,315948,100,0,1.9458058,.0060418709,7.1043477,.042923551,4,528325.0110000001,6071482.3837,4,Flensburg
2017,49068,25,315948,100,0,1.9677086,.0026460942,7.2616696,.019215062,4,528325.0110000001,6071482.3837,4,Flensburg
2018,49068,25,315948,100,0,2.0175531,.00078166212,7.6327963,.0059662675,4,528325.0110000001,6071482.3837,4,Flensburg
2019,49068,25,315948,100,0,2.0703096,.0036722952,8.0462875,.029548343,4,528325.0110000001,6071482.3837,4,Flensburg
2020,49068,25,315948,100,0,2.1113091,.0018116918,8.3830366,.015187479,4,528325.0110000001,6071482.3837,4,Flensburg
2021,49068,25,315948,100,0,2.1166272,.0018684056,8.4277382,.015746433,4,528325.0110000001,6071482.3837,4,Flensburg
2022,49068,25,315948,100,0,2.160537,.00023568451,8.8060427,.0020754479,4,528325.0110000001,6071482.3837,4,Flensburg
2023,49068,25,315948,100,0,2.2008841,.0050971969,9.1686058,.046734188,4,528325.0110000001,6071482.3837,4,Flensburg
2007,628325,25,1491378,100,0,2.1815991,.02192983,9.145195,.20055257,5,567833.5072,5933347.069,5,Hamburg
2008,628325,25,1491378,100,0,2.2573283,.023689276,9.8646507,.23368643,5,567833.5072,5933347.069,5,Hamburg
2009,628325,25,1491378,100,0,2.3259633,.019441891,10.565487,.20541304,5,567833.5072,5933347.069,5,Hamburg
2010,628325,25,1491378,100,0,2.3634577,.015959462,10.969154,.17506181,5,567833.5072,5933347.069,5,Hamburg
2011,628325,25,1491378,100,0,2.4044485,.010130255,11.428131,.11576988,5,567833.5072,5933347.069,5,Hamburg
2012,628325,25,1491378,100,0,2.4469056,.0049767885,11.923784,.059342153,5,567833.5072,5933347.069,5,Hamburg
2013,628325,25,1491378,100,0,2.4202859,.0054564853,11.610564,.063352875,5,567833.5072,5933347.069,5,Hamburg
2014,628325,25,1491378,100,0,2.5015976,.0057637226,12.594083,.072588801,5,567833.5072,5933347.069,5,Hamburg
2015,628325,25,1491378,100,0,2.486681,.0048039174,12.407616,.059605159,5,567833.5072,5933347.069,5,Hamburg
2016,628325,25,1491378,100,0,2.4927437,.00014112328,12.483068,.0017616516,5,567833.5072,5933347.069,5,Hamburg
2017,628325,25,1491378,100,0,2.6175902,.023279246,14.142998,.32923833,5,567833.5072,5933347.069,5,Hamburg
2018,628325,25,1491378,100,0,2.6676252,.032176908,14.868646,.47842705,5,567833.5072,5933347.069,5,Hamburg
2019,628325,25,1491378,100,0,2.7205777,.029571975,15.677197,.46360567,5,567833.5072,5933347.069,5,Hamburg
2020,628325,25,1491378,100,0,2.7754066,.031499587,16.56076,.52165711,5,567833.5072,5933347.069,5,Hamburg
2021,628325,25,1491378,100,0,2.7858913,.031167878,16.735308,.521604,5,567833.5072,5933347.069,5,Hamburg
2022,628325,25,1491378,100,0,2.8151026,.032468114,17.231379,.55947036,5,567833.5072,5933347.069,5,Hamburg
2023,628325,25,1491378,100,0,2.7847412,.029394606,16.716072,.49136236,5,567833.5072,5933347.069,5,Hamburg
2007,191969,25,1398802,100,0,1.6879572,.014841546,5.5029926,.081672922,6,603982.4284,5792742.8905,6,Braunschweig
2008,191969,25,1398802,100,0,1.7452159,.0021187935,5.8272824,.012346809,6,603982.4284,5792742.8905,6,Braunschweig
2009,191969,25,1398802,100,0,1.7572467,.0019599525,5.8978128,.011559433,6,603982.4284,5792742.8905,6,Braunschweig
2010,191969,25,1398802,100,0,1.7797787,.0020848261,6.0322108,.012576111,6,603982.4284,5792742.8905,6,Braunschweig
2011,191969,25,1398802,100,0,1.8128049,.0030994553,6.2347584,.019324355,6,603982.4284,5792742.8905,6,Braunschweig
2012,191969,25,1398802,100,0,1.8640239,.00016225148,6.5624156,.0010647617,6,603982.4284,5792742.8905,6,Braunschweig
2013,191969,25,1398802,100,0,1.9318341,.0081156185,7.0228491,.056994762,6,603982.4284,5792742.8905,6,Braunschweig
2014,191969,25,1398802,100,0,2.0050192,.0091314921,7.5560913,.068998389,6,603982.4284,5792742.8905,6,Braunschweig
2015,191969,25,1398802,100,0,2.0346937,.0060609914,7.7836747,.047176786,6,603982.4284,5792742.8905,6,Braunschweig
2016,191969,25,1398802,100,0,2.0560825,.0072824592,7.9519515,.057909761,6,603982.4284,5792742.8905,6,Braunschweig
2017,191969,25,1398802,100,0,2.1300914,.018096309,8.5627918,.15495493,6,603982.4284,5792742.8905,6,Braunschweig
2018,191969,25,1398802,100,0,2.1473091,.010780032,8.7114992,.09391024,6,603982.4284,5792742.8905,6,Braunschweig
2019,191969,25,1398802,100,0,2.176307,.010237896,8.9678125,.09181153,6,603982.4284,5792742.8905,6,Braunschweig
2020,191969,25,1398802,100,0,2.1882772,.015946755,9.0758047,.14472963,6,603982.4284,5792742.8905,6,Braunschweig
2021,191969,25,1398802,100,0,2.2058818,.0041693971,9.2369957,.038512703,6,603982.4284,5792742.8905,6,Braunschweig
2022,191969,25,1398802,100,0,2.2382755,.0013705228,9.5411148,.013076315,6,603982.4284,5792742.8905,6,Braunschweig
2023,191969,25,1398802,100,0,2.2671781,.0037624922,9.8209019,.036951065,6,603982.4284,5792742.8905,6,Braunschweig
2007,129468,25,1313498,100,0,1.6717416,.0022445503,5.424912,.012176488,7,621404.6586,5808221.5001,7,Wolfsburg
2008,129468,25,1313498,100,0,1.6105776,.0093977088,5.1030459,.04795694,7,621404.6586,5808221.5001,7,Wolfsburg
2009,129468,25,1313498,100,0,1.7236106,.012601232,5.7137222,.071999937,7,621404.6586,5808221.5001,7,Wolfsburg
2010,129468,25,1313498,100,0,1.7516814,.0010084021,5.8763833,.0059257573,7,621404.6586,5808221.5001,7,Wolfsburg
2011,129468,25,1313498,100,0,1.7598246,.0025574481,5.9244313,.015151425,7,621404.6586,5808221.5001,7,Wolfsburg
2012,129468,25,1313498,100,0,1.854229,.030573793,6.5109739,.19906516,7,621404.6586,5808221.5001,7,Wolfsburg
2013,129468,25,1313498,100,0,2.0371292,.043733474,7.8176908,.34189478,7,621404.6586,5808221.5001,7,Wolfsburg
2014,129468,25,1313498,100,0,2.1012709,.02701629,8.3355627,.22519597,7,621404.6586,5808221.5001,7,Wolfsburg
2015,129468,25,1313498,100,0,2.1225653,.0053351843,8.514966,.045428913,7,621404.6586,5808221.5001,7,Wolfsburg
2016,129468,25,1313498,100,0,2.1870964,.004467106,9.0825634,.040572774,7,621404.6586,5808221.5001,7,Wolfsburg
2017,129468,25,1313498,100,0,2.2192314,.019822951,9.3791714,.18592286,7,621404.6586,5808221.5001,7,Wolfsburg
2018,129468,25,1313498,100,0,2.2016766,.022270024,9.2159595,.20523964,7,621404.6586,5808221.5001,7,Wolfsburg
2019,129468,25,1313498,100,0,2.2637892,.02563978,9.8065376,.25143746,7,621404.6586,5808221.5001,7,Wolfsburg
2020,129468,25,1313498,100,0,2.2955577,.014598676,10.123078,.14778355,7,621404.6586,5808221.5001,7,Wolfsburg
2021,129468,25,1313498,100,0,2.2569435,.0014462789,9.7396336,.014086226,7,621404.6586,5808221.5001,7,Wolfsburg
2022,129468,25,1313498,100,0,2.2533376,.00011770587,9.7045774,.0011422856,7,621404.6586,5808221.5001,7,Wolfsburg
2023,129468,25,1313498,100,0,2.2029467,.0044254353,9.2276716,.040836465,7,621404.6586,5808221.5001,7,Wolfsburg
2007,84337,25,1289439,100,0,1.473269,.029390503,4.4660625,.13125983,8,568805.2557,5729995.0242,8,Göttingen
2008,84337,25,1289439,100,0,1.4811093,.034053102,4.5012155,.15328035,8,568805.2557,5729995.0242,8,Göttingen
