postcode_id,pprice_qm2007,pprice_qm_se2007,pcv2007,pprice_qm2008,pprice_qm_se2008,pcv2008,pprice_qm2009,pprice_qm_se2009,pcv2009,pprice_qm2010,pprice_qm_se2010,pcv2010,pprice_qm2011,pprice_qm_se2011,pcv2011,pprice_qm2012,pprice_qm_se2012,pcv2012,pprice_qm2013,pprice_qm_se2013,pcv2013,pprice_qm2014,pprice_qm_se2014,pcv2014,pprice_qm2015,pprice_qm_se2015,pcv2015,pprice_qm2016,pprice_qm_se2016,pcv2016,pprice_qm2017,pprice_qm_se2017,pcv2017,pprice_qm2018,pprice_qm_se2018,pcv2018,pprice_qm2019,pprice_qm_se2019,pcv2019,pprice_qm2020,pprice_qm_se2020,pcv2020,pprice_qm2021,pprice_qm_se2021,pcv2021
1067,1778.6648,151.32912,.085080177,1657.4022,103.37904,.062374145,1499.4738,141.82793,.094585136,1650.8942,10.248139,.0062076296,1966.0808,101.8419,.05179945,2076.0635,62.932278,.030313272,2231.3369,115.91992,.051950883,2468.5779,34.391853,.013931849,2341.1489,9.443861,.0040338575,2199.4758,33.106243,.015051879,2396.0071,155.5383,.064915627,2789.0623,10.489523,.0037609497,2985.127,69.113647,.023152666,3365.6953,98.462654,.029254774,3970.6626,42.259308,.010642885
1069,1808.8025,93.789398,.051851653,1740.5131,76.459564,.043929324,1606.6978,.63972884,.00039816377,1748.7156,64.921959,.037125509,2091.3044,73.583405,.035185412,2289.8345,15.147158,.0066149575,2468.1829,12.633507,.0051185456,2783.719,28.11352,.010099267,2574.3989,54.283669,.021085959,2428.6199,98.056328,.04037533,2641.6479,175.03113,.066258311,2950.2036,158.05287,.053573545,3374.7083,54.43306,.016129708,3697.7666,15.871612,.0042922157,3999.7876,249.84749,.062465191
1097,1815.5386,145.07065,.079905018,1688.5609,10.179878,.0060287304,1572.4086,69.6017,.044264387,1704.3472,77.345467,.045381285,2039.5778,97.443901,.047776505,2146.4114,9.1741409,.0042741764,2364.136,20.320314,.0085952394,2553.6077,21.647278,.0084771356,2411.7185,70.363762,.029175777,2332.3462,141.10489,.060499117,2456.072,64.480034,.026253315,2847.3225,176.3101,.061921369,3111.416,153.62836,.049375705,3392.1765,133.99408,.039500915,4029.6118,56.40118,.013996678
1099,2319.3994,11.506485,.0049609761,2201.0549,73.833344,.033544526,2219.9285,112.29144,.050583359,1975.0386,149.27693,.075581782,2216.7488,106.0312,.047831856,2487.9204,222.55807,.089455463,2583.2571,207.9346,.080493189,2925.7778,65.8284,.022499453,2838.1719,288.57172,.1016752,2866.8948,176.10046,.061425507,2651.4631,114.28437,.04310238,2309.8701,159.76828,.069167644,3055.001,55.520962,.018173795,2801.7346,196.79674,.070241034,3950.9209,27.266994,.0069014276
1108,1503.5043,116.38987,.077412397,1463.3342,108.59959,.074213803,1523.1571,22.505871,.014775804,1544.6187,121.71339,.078798346,1434.4424,29.068289,.020264521,1806.9413,10.805918,.0059802262,1759.5231,23.821503,.013538613,1690.6102,66.633308,.039413761,1711.4108,81.248512,.047474582,1776.8257,87.783539,.049404699,1848.7052,385.02466,.2082672,1665.3547,167.29549,.10045636,1492.1141,82.654259,.055394061,1567.7014,81.140121,.051757384,2804.2158,96.140099,.03428413
1109,1648.9409,111.58459,.067670465,1584.3448,61.637157,.038903877,1618.1644,13.115332,.0081050675,1670.6215,26.79747,.01604042,1816.4333,126.30239,.069533184,2010.3593,40.046986,.019920314,1976.5612,46.674801,.023614144,2002.1464,41.583202,.020769311,2045.8969,57.532196,.028120771,2215.8359,6.2774744,.002833005,2296.6338,158.36183,.068953887,2526.3923,79.088005,.031304721,2322.6401,106.89571,.046023361,2386.0188,192.15897,.080535397,3661.7439,55.302864,.015102876
1127,1684.7106,67.258636,.039922964,1580.9442,.010383085,6.5676481e-06,1448.9523,73.461716,.050699886,1632.3309,71.366875,.043720838,1945.1038,7.5554514,.0038843437,1968.2789,8.0861797,.0041082487,2083.5564,13.069951,.006272905,2254.4478,70.785088,.031397972,2183.4817,65.547089,.030019527,2229.9131,131.76584,.059090123,2320.9019,111.32023,.047964212,2646.4336,129.11406,.048787948,2868.5769,112.13461,.039090674,3325.7244,342.22504,.1029024,3858.8057,98.109489,.025424832
1129,1555.4983,54.104843,.034782965,1463.2245,30.794086,.021045361,1374.1718,54.613159,.0397426,1472.8975,9.8198967,.0066670608,1682.5116,7.8247437,.0046506329,1717.0874,58.374508,.033996236,1798.9371,54.314762,.030192696,1923.6007,14.241311,.0074034655,1902.2292,50.787739,.026699062,2037.9341,35.87088,.017601591,2185.9412,.76775122,.00035122226,2454.5527,36.658409,.014934863,2499.2351,9.937459,.0039762002,2823.437,212.08904,.075117327,3541.7717,3.4523494,.00097475213
1139,1580.2075,16.552223,.010474714,1460.7208,.25680512,.00017580712,1347.7443,37.098171,.027526122,1489.5338,81.387512,.054639585,1657.0015,38.140175,.023017587,1762.8834,32.674759,.018534837,1894.5165,113.02743,.059660304,1892.1682,61.123814,.032303583,1939.23,18.942518,.0097680613,2073.8916,4.3805499,.0021122366,2225.2495,4.3342395,.0019477544,2434.7146,83.635963,.034351446,2533.3137,7.6267433,.0030105799,2836.6504,270.78458,.095459267,3481.3521,90.508629,.025998127
1157,1576.7599,25.805393,.016366089,1463.1924,125.6243,.085856311,1351.3689,89.700897,.066377804,1471.8337,70.46714,.047877107,1623.3199,97.454239,.060033906,1763.923,83.338699,.047246225,1876.8618,128.38953,.068406485,1844.2683,49.737514,.026968697,1925.8961,43.38348,.022526387,1986.7577,73.418434,.036953896,2122.8269,6.1479568,.0028961177,2256.6321,104.26059,.046201855,2468.9902,21.791899,.008826239,2552.9907,88.007065,.034472145,3335.9353,30.929148,.0092715072
