OBJECTID,Join_Count,TARGET_FID,ZIP_CODE,ZIP,AGS,SDV_ARS,GEN,BEZ,IBZ,BEM,NBD,Shape_Length,Shape_Area
1,1,0,01067,1067,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,11890.745389875313776,6720630.514565729536116
2,1,1,01069,1069,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,13214.193144400907840,5329498.383689154870808
3,1,2,01097,1097,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,8845.169181146273331,3422312.380483821034431
4,1,3,01099,1099,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,35957.696431014635891,52889332.204891391098499
5,1,4,01108,1108,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,24218.518004657034908,16295411.563586359843612
6,1,5,01109,1109,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,28755.594914078985312,27287107.155717778950930
7,1,6,01127,1127,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,8931.312207325679992,2831691.180607592221349
8,1,7,01129,1129,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,16026.441856560404631,8288141.735393027774990
9,1,8,01139,1139,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,13513.672493571188170,8527553.849939724430442
10,1,9,01157,1157,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,16387.813748900509381,8561023.430385643616319
11,1,10,01159,1159,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,11387.298421203051475,5696485.802543036639690
12,1,11,01169,1169,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,11410.185926367708817,5104404.260676922276616
13,1,12,01187,1187,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,14763.200985096122167,5032131.893862839788198
14,1,13,01189,1189,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,10988.451693516974046,5288992.122268409468234
15,1,14,01217,1217,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,12012.046587153512519,5210770.327994779683650
16,1,15,01219,1219,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,15859.758075696387095,7500567.321992093697190
17,1,16,01237,1237,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,10599.898188847284473,4321142.910383597947657
18,1,17,01239,1239,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,10612.173667312410544,3640152.418999895919114
19,1,18,01257,1257,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,17851.795278483405127,8452493.449939725920558
20,1,19,01259,1259,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,18858.139778494900384,10433379.798469826579094
21,1,20,01277,1277,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,13033.954778503253692,4624246.115254178643227
22,1,21,01279,1279,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,10294.914180099378427,5406026.462530718185008
23,1,22,01307,1307,14612,146120000000,Dresden,Kreisfreie Stadt,40,--,ja,7939.355650285210686,3386022.127120345365256
