price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,hexagon_id
1904.5394,21.202158,1883.0664,15.537333,1813.3701,13.525757,1679.6301,9.8155222,1786.0593,3.7467902,1641.0924,23.431913,1826.3058,33.621407,1905.3488,15.726958,2162.1946,16.486307,2446.9749,5.8940167,2678.4248,5.5871005,3048.8618,2.4126749,3145.5742,2.4080276,3777.2024,.034744352,4409.3018,30.095583,A-40
1889.5078,15.739378,1860.3628,14.871698,1798.0537,6.2108083,1668.88,15.638735,1768.1217,2.2769825,1641.8959,13.27274,1807.3088,27.551077,1891.6345,10.528296,2155.1196,6.4040265,2450.0134,5.228394,2663.5813,11.419806,3076.3904,15.554776,3140.4763,17.483725,3747.4336,1.4454271,4388.1353,7.5599098,A-41
1959.6829,4.585938,1935.3101,5.7297168,1880.942,2.1262672,1688.3519,11.909126,1786.4364,7.6469941,1588.4879,4.8149672,1746.6637,8.2820749,1804.8616,6.6497722,2071.8926,12.88245,2389.8083,1.0698224,2578.4392,15.667552,2971.2715,14.723914,3039.0264,6.4042444,3689.281,9.9091578,4343.2891,20.715376,A-42
1844.9609,4.183939,1857.734,3.0953033,1740.5365,17.426435,1822.0237,17.375994,1942.9971,6.0597401,2397.2363,63.555325,2473.4414,19.380016,2638.8506,3.4306796,3157.8494,49.200562,3221.5576,15.433299,3437.2935,44.685032,3959.6182,28.015413,4328.6807,6.9713545,4676.3193,63.888771,5121.3521,144.49934,AA-10
1806.0242,11.367228,1830.2396,10.180268,1709.4292,9.8880148,1816.5638,22.692457,1939.7507,11.527441,2477.0864,15.647878,2603.4307,.24061665,2765.8865,8.5433855,3249.0723,66.947517,3356.8062,1.1197706,3604.4265,25.180597,4164.9229,13.696098,4546.8677,11.333149,4862.1558,27.108181,5250.5498,69.88932,AA-11
1819.1879,2.8666978,1805.3906,2.5328221,1668.0646,5.7372336,1818.2998,5.7888117,1943.0049,6.2693753,2463.8447,4.4790101,2608.4211,10.42456,2754.8198,10.387433,3256.2786,13.456,3430.9226,10.512875,3706.2463,1.7142282,4294.1167,1.1045021,4683.6196,11.70187,4923.2339,10.27327,5358.0415,28.737722,AA-12
1787.6991,14.935576,1778.915,16.104275,1638.8641,17.116964,1827.1216,8.7459269,1961.6394,8.5972528,2544.5029,32.415871,2716.3152,6.2416573,2886.0918,15.204094,3415.5186,19.758776,3550.0466,6.5521855,3843.1125,3.7832119,4454.1196,11.882773,4879.7412,17.992397,5064.9229,5.5298347,5487.063,11.715978,AA-13
1807.1713,.20168747,1846.4077,16.483463,1821.6049,59.767471,1951.1691,38.561573,2069.9878,30.25543,2528.1436,19.199705,2708.084,66.495964,2923.3853,59.0854,3333.5869,90.620789,3562.0625,7.7282758,3886.8389,.83378267,4439.2056,19.388689,4823.2544,12.971152,5140.5894,18.226307,5721.833,65.067924,AA-14
1829.151,15.321208,1864.551,28.626591,1845.5183,75.114151,1983.3256,54.956326,2088.4551,40.188168,2579.0945,71.909004,2750.6143,71.478867,2940.2727,81.658806,3353.3716,94.325226,3576.6824,21.784863,3910.6528,20.718504,4461.9507,10.202291,4864.7515,30.955494,5200.5098,4.3630452,5821.7012,58.607227,AA-15
1869.5042,30.25787,1822.1637,11.276171,1652.6757,17.517288,1897.3905,11.410949,2035.662,4.1879702,2706.5984,9.0957756,2907.2769,1.7840366,3105.8765,15.898976,3656.4946,30.405151,3733.7009,12.559325,4051.2939,11.175338,4676.3311,23.900602,5229.7407,53.00425,5358.0459,13.277984,5831.2212,21.059565,AA-16
